Data,Type,Source,English Translation,Category,100%,Annotation
আধিবাসী না দাদা উপজাতি,Comments,Facebook,"brother, it's tribal not indegeneous ",community,100,Bully
প্রথমে মনে গোজ্জোং লাগেজ বুক্কে,Comments,Tiktok,first I thought she was carrying lugguage(mocking someones dressup),woman/girl,60,Bully
জুম্ম হাপ্পো,Comments,Facebook,shifting cultivator who eats snake,community + men/boy,80,Bully
চিদোলি,Comments,Facebook,"woman who eats ferminated fishpaste(fishpaste in chakma called ""chidol/sidol"")",women/girls,100,Bully
মেদে রা হও হি দেগিনে লাং তগহ,Comments,Facebook,"eat stool,what you find connection between them",men/boys,100,Bully
মগদা বেরমা হুলি মা দাগি,Comments,Facebook,these dead people are the daughters of fermented fishpaste eaters(berama is another type of fish ppaste),women/girls,100,Bully
হত্তাল মিলে,Comments,Facebook,quarrelsome girls,women/girls,50,Neutral
চমলক্ক,Comments,Tiktok,half mad,women/girls,80,Bully
আদিক নুদিয়ে হি গুরিবাক হবর ন পাদন দে,Comments,Facebook,false pretention,women/girls,20,Not Bully
সিত্তেই দ তারা নিজোরে আদিবাসী দাবি গরন,Comments,Facebook,This is the reason they claim they are indegeneous,men + women,50,Neutral
ওহ্...বুক আজতে আজতে লেদা মুই ,Comments,Facebook,Oh my god..I'm tired out of laughing,men + women,0,Not Bully
অক্  হদা,Comments,Facebook,true words,men + women,0,Not Bully
আমা চাঙমা জাত্তো সতর্ক অনা উসিদ আগে বেই ভোন লক,Comments,Facebook,our chakma community must be concious brothers and sisters,men + women,0,Not Bully
দোল মানজে যা হন বেক দোল হদা ,Comments,Facebook,Everyting that beautiful people say is beautiful,men + women,0,Not Bully
দোল মানজে চিপ্পুরেপা উরি হলে হেনে শেয়ার ন গুরিনে থেম,Comments,Facebook,If beautiful person speaks so cutely how can I not share it,men + women,0,Not Bully
যেইনা ঠিক গুরিওই,Comments,Facebook,let's go and fix,all,0,Not Bully
নুও বজরর ভালেদি হোচপানা,Comments,Facebook,happy new year and love,all,0,Not Bully
এজো হেঙেদা আগঙ,Comments,Facebook,I am still skinny,men + women,0,Not Bully
ম্ব মক্কু আগো দ্বাড়ানে অনেক দোল উয়ে ,Comments,Facebook,my wife has become more beautiful than before ,women/girls,30,Not Bully
দরে লেদা অবে,Comments,Facebook,you will be scared,men/women,50,Neutral
হদা আন মন্দ নয়,Comments,Facebook,you did not say wrong,community,0,Not Bully
হদা তিক আগে দ হি গরানা আমা মানুষচুন গম নয়,Comments,Facebook,you said the right thing but our people are not good,community,0,Not Bully
কদা গান কিন্তুু ফেলা যেবার নয়,Comments,Facebook,your words cannot be ignored,community,0,Not Bully
তারার ফোন নম্বর সবসময় বন্ধ থায়। খোলা থেলেও রিসিভ ন গরন। তারারে হেনে এবং হনা সাহায্য গুরিবু।,Comments,Facebook,Their phone is always off. They won't receive even if its on. How and who will help them,community,0,Not Bully
মদ হা হি হোন্না সেব দে,Posts,Facebook,who will watch drinking alchohol,community,0,Not Bully
হুব গম পেন্নেই ভিডিও বুরে কপি গুরি নেই সারি লুঙ,Posts,Facebook,I liked the video so much that I copied it and shared it,religion,0,Not Bully
"চাঙমা ভাঝে রাঙামাট্টে জেলার ২০২২ সালর জন শুমারি রিপোর্টঃ-এ রিপোর্ট য়ানত ফুদি উত্তে রাঙামাট্টে জেলার মানজ্যো সংখ্যে, মিলে মরদ, শিক্ষার হার, ধর্ম বিশ্বেজ, বাঙাল-জুম্মোর হার সহ নানান বাবত্তে হবর। বেক্কানি চাঙমা ভাঝে ফগদাং গরা অয়ে।",Posts,Facebook,"Rangamati district census report of 2022 in chakma language:- In this report the population of Rangamati, men women, percentage of educated people,religious beliefs, bengali - jumma people percentages and other different types of news has emerged. Everything has been shown in chakma language.",rangamati,0,Not Bully
"তুই দ,যে তালত ভাত হাজ, সিয়ত আগি দোজ।",Comments,Facebook,you do the toilet in the plate you eat rice,men/boys,50,Neutral
"তুই এতই সম্বল আগে হিয়া তুই সিয়ত গেলে,,,! কারণ সিয়ুত তর পরিবেশে হাফ নো হায়। নাহি, স্বপ্ন প্রতিবন্ধী সিয়াত গোয়েন্দা জিয়সসি? সেনে দ তর এই মন-মানসিকতা হিনেই তর পরিবার লোই ভুলবোঝাবুঝি অই।",Comments,Facebook,"since you have lots of essets then why did you go there..because cannot cope up with the environment..or have you dreamt of going as a detective of the disabled?because of your this kind os mentality, you have misunderstandings with your family.",men/boys,50,Neutral
সলিবো,Comments,Facebook,will continue/this will do(referring to sexual activities),women/girls,100,Bully
সাদে এক্কা মগদিবোর হেনে চিত জুরাই,Comments,Facebook,just look at how the dead girl/woman calms her mind,woman/girls,100,Bully
হি দেনে পাগল উয়ে হবারে লক্ষণ দ হারাপ,Comments,Facebook,"what did she see in this person that she became mad,the symptoms are bad",woman/girls,100,Bully
আমা চাঙমাউনে টেঙা হামেবাক ব্লগ গরিনেই তারা সেগুন মানজোরে গম হামদ সাহায্য সহযোগিতা ন গরিবাক,Comments,Facebook,our chakma bloggers earn money and don't even help the needy people foer good use,bloggers,50,Neutral
আমার পাহাড়ি অলদে একজনরে আরো একজন হিয়ানে সমালোচনা গরে পারে সিয়ান চিন্তা গরণ,Comments,Facebook,our hill people only know how to criticise other hill people,men + women,0,Not Bully
হায়রে দুনিয়া জীবন্ত আর কি দিগিবং হিঝেনী অবাবে সব কিছু,Comments,Facebook,"oh my god, what more do I have to see in this life",religion,50,Neutral
"জানে পেটদো আধরী ওজন্যের উদিল,",Comments,Facebook,my belly is aching,all,10,Not Bully
রং ডং গুরি ল সদ্দেংগরবি।পরপারট যেলে আর গুরি ন্ব পারিবি।বেস দেরি নেই সময় এজের।,Comments,Facebook,"do whatever you want to do now you overactor. You can't do this in your afterlife. You don't have much time, time is coming",women/girls,100,Bully
এ মিলেবো যদবদে বেজ গরের! ইজু উরেত্তে!!,Comments,Facebook,this girl is doing too much as if she is flying,women/girls,100,Bully
একদিন সুগ ফিরি এভ দি আমার,Comments,Facebook,one day our happiness will return to us sister,women/girls,0,Not Bully
"তার বাবে দিক্কেদে আই পিত্তিমিত বানা ৪আন ধর্ম'দে।পিত্তিমিত মোট ধর্ম সংখ্যা অলদে ৪,৩০০টি",Comments,Facebook,your father saw that there are 4 religions in this world. There are 4300 religions in the world,religion,0,Not Bully
তার দ লাজ বলতে চের আনারও নেই মনে অয়,Comments,Facebook,I think he has no shame,men/boys,50,Neutral
বালান অত্তুন পজা বাজ নিগিলের,Comments,Tiktok,you semen is smelling bad,women/girls,100,Bully
"নিজোর থেলে হা, পোরেয়ের থেলে সা।",Posts,Facebook,"if you have your own then you eat,if others have then you see",all,0,Not Bully
সুদা সুদি গুরিনেই টেঙা পিওসসি নাহি,Comments,Facebook,do you earn money by having sex,women/girls,50,Neutral
ইয়ুন দ বেক্কুন জগতগুরু বুদ্ধোবুর শিষ‍্য,Comments,Facebook,these are the disciple of the world guru Buddha,religion,100,Bully
"ইয়েনি দেগিলে ইজু মনত দুগ বাড়েদে, ধর্ম নামে ইয়েনি হন ধরনর বোকামি!",Comments,Facebook,"I feel bad after seeing these, what kind of foolishness are they doing in the name of religion",religion,0,Not Bully
ভান্তেয়ে মিলে জাবেলে সেনও এডিট হবা নাহি,Comments,Facebook,if the monk grabs women then would you say it is edited,religion,30,Not Bully
 জিবে এডিট গজ্জে সিবের পাপ অবদে,Comments,Facebook,the person who edited this will be sinned,religion,50,Neutral
