Data,Type,Source,English Translation,Category,100%,Annotation
nomonsuk,Comments,Facebook,third gender,men/boy,100,Bully
morahaji sibi re chok padai di i,Comments,Facebook,someone wishing other person to die who likes another person specially girl/woman,men/boy,50,Neutral
Ettun para doll mili sok nw pelede i,Comments,Facebook,don't you find a beautiful girl rather than this girl!,woman/girl,30,Not Bully
huccor huttun ta chul an digile o mile mudi nw dibak,Comments,Facebook,his hair is mixed product/hybrid that no one will urine on them.,men/boy,80,Bully
tobbabe,Comments,Facebook,your father,men/boy,100,Bully
Edok ki box u bukki guri najana,Comments,Tiktok,what is the need of dancing while carrying a box,woman/girl,60,Bully
ejjot,Comments,Facebook,shame,community,20,Not Bully
Edee baji jei n baron ful o lge,Comments,Tiktok,why don't they float away with flowers,woman/girl,30,Not Bully
Ah biju esce full nobajebak hitte te medera hitte hw,Comments,Tiktok,"It's bijhu,why are you eating stool without floating flowers?",woman/girl,50,Neutral
Pagle sagle,Comments,Tiktok,mad people,men/boy,80,Bully
Te he va mrt tur ie milee akkol,Comments,Tiktok,"being a man,why he's behaving like a woman",men/boy,100,Bully
Bangla hoda o dole hoi no jane,Comments,Facebook,can't speak in bengali language properly,men/woman,80,Bully
jummo happo,Comments,Facebook,shifting cultivator who eats snake,community + men/boy,100,Bully
dei 9parongotte,Comments,Facebook,I can't stand him/her,men/woman,50,Neutral
Masuda guro bo,Comments,Facebook,motherfucker,men/boy,100,Bully
Tui pagol nee sane i,Comments,Facebook,you are mad that is why,men/boy,50,Neutral
cidoli,Comments,Facebook,"woman who eats ferminated fishpaste(fishpaste in chakma called ""chidol/sidol"")",women/girls,100,Bully
madarsud un mile dukke tik tok,Comments,Tiktok,motherfucker does tiktok like girls,women/girls,100,Bully
mujjong mokta,Comments,Facebook,I'm so tired like a dead man,men/boy,30,Not Bully
Twmmaseda hugurbassa,Comments,Facebook,Son of a bitch,men/boy,100,Bully
amar leorabara mgda mu tre xudibar time nei,Comments,Facebook,we don't have time for dead people like you,women/girls,100,Bully
Crush bf sodatte val or segara tar,Comments,Facebook,how can he be someone's crush/bf having an ugly face as samen,men/boy,100,Bully
Se mgdabi re mui cinong,Comments,Facebook,I know that dead woman,women/girls,50,Neutral
Ler ha goi tui,Comments,Facebook,eat samen,womwn/girls,100,Bully
Mgda gune sigon sigon gurinei gabur bal,Comments,Facebook,these dead children are acting as if they are young,children/ young people,100,Bully
jat masuda tui,Comments,Facebook,your kind is motherfucker,men/boys,100,Bully
Hula muri ha tui leba leba guri hoda hos,Comments,Facebook,eat stool as you speak like stutter,womwn/girls,100,Bully
Bal pakke cigon cigon guro unor,Comments,Facebook,these children act as if they have become mature,children/ young people,60,Bully
Twr ler kana uchit de,Comments,Facebook,you should eat samen,womwn/girls,100,Bully
Mgda,Comments,Facebook,dead person,men/boys,80,Bully
Pagol or bongso,Comments,Tiktok,mad family,womwn/girls,80,Bully
Pallle mudo pani ho,Comments,Facebook,if you can then drink urine,men/boys,100,Bully
Mgd mu dage ler habar nei d r,Comments,Facebook,these dead people can only eat samen,women/girls,100,Bully
ekke bij uye,Comments,Facebook,it's like poison to me,women/girls,30,Not Bully
Rada gurogun nuo mrn,Comments,Facebook,why don't the people die!,women/girls,50,Neutral
rata,Comments,Facebook,carrier of a dead body,women/girls,100,Bully
sedoli,Comments,Facebook,"woman who eats ferminated fishpaste(fishpaste in chakma called ""chidol/sidol"")",women/girls,100,Bully
he sedobal hoj,Comments,Facebook,what nonsense are you talking,women/girls,50,Neutral
Jemon radagrobi dagi temon radagromu dagi,Comments,Facebook,,men + women,100,Bully
mgda bi bu,Comments,Facebook,this dead woman,women/girls,100,Bully
Bekkun mal uh,Comments,Tiktok,every girl is hot looking,women/girls,80,Bully
mogodamu,Comments,Tiktok,you dead one,women/girls,80,Bully
Bek abal un,Comments,Facebook,everyone is stupid,women/girls,80,Bully
Ler ha huguru baccha,Comments,Facebook,eat samen you son of a bitch,men/boys,100,Bully
a cinni ullagoi ,Comments,Facebook,get lost/ die ,men/boys,50,Neutral
ulo horbo,Comments,Facebook,elephant apple salad,women/girls,50,Neutral
Sei deresh San nwpinenei langta najile dw oi,Comments,Facebook,She could have danced naked rather than wearing these clothes,women/girls,80,Bully
he pagol color nahe,Comments,Facebook,why are you acting like mad,men/boys,30,Not Bully
Sudurbudur  ,Comments,Facebook,nonsense,men + women,20,Not Bully
Ama chakma jado magi mili gun i egun,Comments,Tikok,these are the call girls of our chakma community,women/girls,100,Bully
Hangisudi he uye de ,Comments,Tikok,what happened motherfucker,women/girls,100,Bully
bekkun dool,Comments,Tikok,everyone is beautiful,women/girls,0,Not Bully
bana tui sedam sara de ,Comments,Facebook,only you are useless,women/girls,20,Not Bully
Baledor hono aja nei am chakma mila gun,Comments,Tikok,our chakma girls have no hope of getting better,women/girls,20,Not Bully
bej bujeye ole ja oi i,Comments,Facebook,this happens when you understand too much,women/girls,30,Not Bully
Bego jere milebo sele sigon ,Comments,Facebook,the last girl looks so skinny,women/girls,60,Bully
 bari dol ham grotte osobbo hode ar,Comments,Facebook,you are doing a great job you uncultured,men/boys,70,Bully
dol,Comments,Facebook,beautiful,men/boys,0,Not Bully
Dunobore bij degong,Comments,Facebook,I hate both of them,men + women,10,Not Bully
Ei ikkin guri hona dorkar de tomare,Comments,Facebook,you should be told like that,men/boys,0,Not Bully
Siyan bekkunore dega nwpuribu  ,Comments,Facebook,you should not show this to everyone,women/girls,0,Not Bully
Gom dw nwlagilu,Comments,Facebook,I did not like it,women/girls,0,Not Bully
gel dibar mone hwr.,Comments,Facebook,I want to scold you,women/girls,10,Not Bully
ss padei dong...nei r tui,Comments,Facebook,I have sent screen shot…now you are done,men + women,0,Not Bully
Porshu tun purikkhe. Porha nw or,Comments,Facebook,I have exam from the day after tomorrow…I can't study,men + women,0,Not Bully
CNG driver un beshi beadop jian sotto hoda. Tara bike anire chokot nobajan ekkere,Comments,Facebook,CNG drivers are very arrogant which is true. They don't care about bikes,CNG drivers,40,Not Bully
Uye gom seda nwpuribu r sedok..nwhele nwhacchi ai,Comments,Facebook,"okay you don't have to pretend to be good..if you don't drink,then you don't",men/boys,10,Not Bully
ebe do mui ,Comments,Facebook,this is me,men + women,0,Not Bully
oi oi Nayok dw sene,Comments,Facebook,yes yes you are hero that's why,men/boys,10,Not Bully
 mui degem nahi,Comments,Facebook,should I show you,women/girls,0,Not Bully
Obuddha,Comments,Facebook,Oh my god,men + women,0,Not Bully
Dol lager,Comments,Facebook,you look beautiful,women/girls,0,Not Bully
Atte mogodar osibil ,Comments,Facebook,Such a civic senseless dead person,men/boys,70,Bully
Mui mile odung hanjaba dhor gori dilung un,Comments,Facebook,If I had been a girl I would have slap him,men/boys,50,Neutral
Ghin gore para gorer,Comments,Facebook,he's acting dirty,men/boys,70,Bully
hoi didung nahi,Comments,Facebook,should I tell her?,men/boys,0,Not Bully
sej,Comments,Facebook,finished,all,10,Not Bully
